date,confirmed_cases,deaths,stringency_index
5/18/2020,1499310.5,91527.5,71.3
5/19/2020,1520408.0,92699.0,71.19
5/20/2020,1542266.0,94245.5,70.98
5/21/2020,1566556.5,95612.5,70.61
5/22/2020,1591285.5,96866.0,70.13
5/23/2020,1614235.5,98072.5,70.13
5/24/2020,1635215.0,98923.5,70.13
5/25/2020,1654959.0,99513.0,70.13
5/26/2020,1673900.0,100094.0,69.99
5/27/2020,1692458.0,101201.0,69.94
5/28/2020,1713181.0,102552.0,69.89
5/29/2020,1736260.5,103719.0,69.31
5/30/2020,1761118.5,104809.5,68.99
5/31/2020,1782693.0,105571.0,68.87
6/1/2020,1801224.0,106260.0,66.84
6/2/2020,1822183.0,107175.0,66.84
6/3/2020,1842388.5,108194.5,66.7
6/4/2020,1862669.0,109203.0,66.6
6/5/2020,1885795.0,110177.5,66.11
6/6/2020,1909602.5,110972.5,66.06
6/7/2020,1929544.0,111521.0,66.0
6/8/2020,1949371.5,112136.5,65.44
6/9/2020,1967775.0,112858.0,65.23
6/10/2020,1987432.5,113807.5,65.08
6/11/2020,2009201.5,114701.5,64.82
6/12/2020,2033216.0,115562.5,64.58
6/13/2020,2058736.5,116366.5,64.42
6/14/2020,2081358.0,116903.5,64.42
6/15/2020,2100919.0,117248.5,63.6
6/16/2020,2122719.0,117865.0,63.13
6/17/2020,2147324.0,118655.0,63.07
6/18/2020,2173952.0,119391.0,62.93
6/19/2020,2203527.0,120084.5,62.89
6/20/2020,2234711.0,120725.5,62.82
6/21/2020,2264978.5,121170.5,62.82
6/22/2020,2293123.5,121493.0,62.63
6/23/2020,2326350.5,122130.0,62.79
6/24/2020,2361110.0,122922.5,62.92
6/25/2020,2398185.0,123572.5,63.06
6/26/2020,2441256.5,125099.5,62.68
6/27/2020,2485300.5,125662.5,62.68
6/28/2020,2526284.5,126048.5,62.52
6/29/2020,2565989.5,126369.5,61.95
6/30/2020,2609531.0,126850.0,61.95
7/1/2020,2657017.0,127832.0,61.56
7/2/2020,2710229.0,128521.5,61.5
7/3/2020,2763547.0,129190.0,61.36
7/4/2020,2813656.0,129669.0,61.28
7/5/2020,2861143.5,129934.0,61.28
7/6/2020,2907821.5,130247.0,61.05
7/7/2020,2962761.5,131036.5,61.05
7/8/2020,3020781.0,132054.0,61.05
7/9/2020,3081798.0,132970.0,61.15
7/10/2020,3147057.5,133873.0,61.11
7/11/2020,3210348.5,134617.0,61.11
7/12/2020,3271238.5,135205.0,61.11
7/13/2020,3329296.0,135584.0,61.04
7/14/2020,3392003.5,136246.0,61.12
7/15/2020,3459798.0,137159.5,61.23
7/16/2020,3532185.5,138107.0,61.28
7/17/2020,3606156.5,139039.0,61.36
7/18/2020,3673586.0,139926.5,61.42
7/19/2020,3736079.0,140576.5,61.42
7/20/2020,3797483.5,141040.0,61.4
7/21/2020,3857886.0,141779.5,61.45
7/22/2020,3929310.5,142965.0,61.42
7/23/2020,3997861.0,144072.5,61.47
7/24/2020,4066069.5,145163.0,61.59
7/25/2020,4138215.0,146259.5,61.59
7/26/2020,4198139.0,146952.5,61.59
7/27/2020,4254192.5,147750.0,61.49
7/28/2020,4315043.0,148971.0,61.56
7/29/2020,4381185.0,150308.5,61.42
7/30/2020,4452437.5,151640.0,61.42
7/31/2020,4519895.0,152937.5,61.71
8/1/2020,4582102.5,154114.0,61.68
8/2/2020,4634820.0,154879.5,61.85
8/3/2020,4681065.5,155351.0,62.17
8/4/2020,4732365.5,156308.0,62.13
8/5/2020,4787365.5,157693.0,62.03
8/6/2020,4843464.5,159038.5,62.03
8/7/2020,4902052.5,160580.0,61.99
8/8/2020,4958845.0,161740.0,61.99
8/9/2020,5010071.0,162527.5,61.99
8/10/2020,5057912.0,163047.5,61.82
8/11/2020,5105774.5,163837.0,61.63
8/12/2020,5156947.0,165123.5,61.66
8/13/2020,5210491.0,166398.0,61.8
8/14/2020,5267831.0,167603.0,61.75
8/15/2020,5323923.0,168782.0,61.75
8/16/2020,5368834.0,169582.0,61.45
8/17/2020,5407025.5,170090.5,60.73
8/18/2020,5446597.5,170970.0,60.67
8/19/2020,5491750.5,172303.5,60.6
8/20/2020,5537318.0,173515.0,60.58
8/21/2020,5583249.0,174603.0,60.3
8/22/2020,5630123.5,175666.0,60.23
8/23/2020,5669440.5,176364.5,60.07
8/24/2020,5705208.0,176807.0,59.16
8/25/2020,5743354.5,177660.5,59.16
8/26/2020,5784388.5,178871.0,58.99
8/27/2020,5828420.0,180036.5,58.88
8/28/2020,5874122.5,181070.5,58.87
8/29/2020,5922244.0,182022.0,58.72
8/30/2020,5961835.0,182677.0,58.65
8/31/2020,5996474.0,183108.5,58.33
9/1/2020,6034888.0,183904.5,58.19
9/2/2020,6076728.0,184974.0,58.02
9/3/2020,6078541.0,185344.5,57.75
9/4/2020,6108670.0,185946.5,56.87
9/5/2020,6156029.0,186808.0,56.87
9/6/2020,5824091.0,179605.5,56.82
9/7/2020,5850135.5,179913.5,56.82
9/8/2020,5873370.5,180215.5,56.39
9/9/2020,5900719.0,180963.0,56.34
9/10/2020,5932959.0,181957.0,56.34
